"@stdlib/string/base/constantcase","@stdlib/string/base/camelcase,@stdlib/string/base/lowercase,@stdlib/string/base/snakecase,@stdlib/string/base/uppercase"
"@stdlib/math/base/tools/continued-fraction",""
"@stdlib/math/base/special/copysign","@stdlib/math/base/special/flipsign"
"@stdlib/math/base/special/copysignf","@stdlib/math/base/special/copysign,@stdlib/math/base/special/flipsignf"
"@stdlib/math/base/special/cos","@stdlib/math/base/special/cospi,@stdlib/math/base/special/cosm1,@stdlib/math/base/special/sin,@stdlib/math/base/special/tan"
"@stdlib/math/base/special/cosd","@stdlib/math/base/special/tand"
"@stdlib/math/base/special/cosh","@stdlib/math/base/special/cos,@stdlib/math/base/special/sinh,@stdlib/math/base/special/tanh"
"@stdlib/math/base/special/cosm1","@stdlib/math/base/special/cos"
"@stdlib/math/base/special/cospi","@stdlib/math/base/special/cos"
"@stdlib/math/base/special/cot","@stdlib/math/base/special/csc,@stdlib/math/base/special/tan"
"@stdlib/math/base/special/cotd","@stdlib/math/base/special/cscd,@stdlib/math/base/special/secd,@stdlib/math/base/special/tand"
"@stdlib/math/base/special/coth","@stdlib/math/base/special/acoth,@stdlib/math/base/special/cot,@stdlib/math/base/special/csch,@stdlib/math/base/special/tanh"
"@stdlib/math/base/special/covercos","@stdlib/math/base/special/coversin,@stdlib/math/base/special/vercos"
"@stdlib/math/base/special/coversin","@stdlib/math/base/special/covercos,@stdlib/math/base/special/versin"
"@stdlib/math/base/special/cphase","@stdlib/math/base/special/cabs"
"@stdlib/math/base/special/cpolar","@stdlib/math/base/special/cabs,@stdlib/math/base/special/cphase"
"@stdlib/math/base/special/cround","@stdlib/math/base/special/cceil,@stdlib/math/base/special/cfloor,@stdlib/math/base/special/croundn"
"@stdlib/math/base/special/croundn","@stdlib/math/base/special/cceiln,@stdlib/math/base/special/cfloorn,@stdlib/math/base/special/cround"
