date,all_workers,hourly_workers,non_hourly_workers,less_than_high_school,high_school,some_college,college,construction,finance,manufacturing
08/1/1988,11.8526971706,14.5916715982,7.9883929241,16.0684469814,13.0918514291,11.113232313,8.1076891418,19.0756478609,8.7331153144,11.2334920376
09/1/1988,11.9921959719,14.8441544397,7.9652056063,15.9411798929,13.4938434437,11.1860462553,8.1094754604,19.2426010462,9.7401417351,11.2089852038
10/1/1988,11.9700349967,14.714424847,8.0821213121,16.1966662561,13.4130061016,11.150624823,8.0494515118,18.4746029446,9.7915020918,11.8667240649
11/1/1988,11.8369343114,14.5525136445,8.0092058961,16.2236443383,13.4196124707,10.6926016905,8.048636464,18.1474942694,9.5909867883,11.9868643057
12/1/1988,11.8274651312,14.5752503062,7.9955255057,16.6052156538,13.5782401101,10.3818272782,8.0583706551,18.3292872159,8.9093537519,12.2537852645
01/1/1989,11.6311953789,14.347497695,7.8217764323,16.7729680768,13.2032211673,10.3314324759,7.8215611614,18.0366822106,8.917113056,11.846487341
02/1/1989,11.5285598767,14.1631188578,7.7877111412,16.9738826049,12.8476523848,10.2621806877,7.7274996839,17.9453742052,9.1114789313,11.6330743685
03/1/1989,11.6825413045,14.4915674415,7.6978725343,17.0460030184,13.0122467913,10.4399848603,7.7844799191,19.6491242866,9.241496366,12.0518986224
04/1/1989,11.6273512772,14.4981934346,7.5909865891,16.2890261977,12.8874731566,10.8803195934,7.7450172324,18.3036156324,9.7589528001,12.0867306988
05/1/1989,11.3800291122,14.3515456929,7.2172784451,16.2083852218,12.8033072141,10.7195521448,6.9325787527,17.4467284196,9.7960895239,12.0749793725
06/1/1989,11.4355723762,14.3039429555,7.4489685374,15.8794843184,12.8708517148,10.7961418297,7.211202476,17.0956247771,9.9505915382,12.4393520252
07/1/1989,11.2509213357,14.2217651614,7.127170558,15.988823247,12.7099933595,10.4786393659,6.9334409121,17.65235875,9.4073106978,12.402449844
08/1/1989,11.0870616546,13.9851584606,7.0743024803,15.7441484844,12.484881891,10.3627152054,6.9316692121,17.1515550326,8.9979929808,12.1326288069
09/1/1989,10.819101163,13.6769108411,6.8901512974,15.6001348269,11.96736495,10.206225778,6.8697018564,17.3526294186,8.1727337574,11.8651678383
10/1/1989,10.5598529104,13.3785542638,6.6784946349,15.0778422806,11.8009185436,9.6440498508,6.912413526,17.4440425059,7.6846339017,11.526059362
11/1/1989,10.5023528063,13.3044463288,6.6308450415,15.0091278928,11.8112597913,9.4261765035,6.9135787124,17.1650022438,8.099003195,11.5883917411
12/1/1989,10.3213004195,13.1075248802,6.4407175532,14.9956589641,11.3515624837,9.5393964678,6.6316744219,17.4380450432,7.7385386615,11.2451716626
01/1/1990,10.3852785873,13.2291042507,6.4647737928,15.0047464481,11.684100759,9.363712335,6.7593598208,16.780586619,8.2419200967,11.5333326287
02/1/1990,10.2516490315,13.1692873879,6.2783708702,14.1998610488,11.7264852675,9.4232201119,6.6180958813,17.2271406884,8.1910885234,11.26841107
03/1/1990,10.1166933384,12.9948415757,6.2362931867,14.0373820441,11.6752041921,9.3784886313,6.3752456357,15.2268723977,8.4241715098,10.9151231831
04/1/1990,10.0397305628,12.7951844343,6.3130721709,14.195605341,11.532603278,9.1439883068,6.3162490347,14.7945619927,7.8323777058,10.9413286814
05/1/1990,9.9537686735,12.5596765557,6.442904994,13.7722778941,11.3767089134,8.8629959097,6.6625098186,14.5876034016,7.1493502673,10.7455063026
06/1/1990,9.6980834271,12.3744284277,6.1246560257,13.6035147418,11.1507285851,8.6191385457,6.4572623641,15.0432571173,6.5358475078,10.2837974149
07/1/1990,9.672247129,12.2347151892,6.2811931459,13.1613461142,11.000209124,8.8313389956,6.6239313445,14.1435683412,6.9375920434,10.2884253
08/1/1990,9.6744333608,12.3401008987,6.1453524195,12.9206580832,11.0521035066,8.7679280408,6.7130379983,14.6712280394,7.3173309784,9.863159981
09/1/1990,9.6941811405,12.3227990021,6.2262904228,13.1601909861,11.0676303289,8.7745916337,6.6581930041,14.1546803519,7.7044050617,9.7773017502
10/1/1990,9.7667577154,12.4331933733,6.2734385368,13.5986032186,10.856874672,8.9906827128,6.8135455255,14.3503207943,7.8183435928,9.6122426213
11/1/1990,9.7041338011,12.2980132037,6.338757557,13.2335488932,10.7178669243,9.1278532342,6.8264022591,14.0790732578,7.7894081218,9.4119668097
12/1/1990,9.535516467,12.0614838655,6.3275389877,13.0000298982,10.5580013605,8.7870684666,6.9081052619,13.1419054699,8.1814994109,9.3351918945
01/1/1991,9.3957614279,11.7830338048,6.3903228259,12.3858565793,10.1271596707,9.1627776899,6.7407868358,12.5759821819,8.1746047346,9.1126896922
02/1/1991,9.2747023654,11.6490719645,6.267380196,12.3309123305,9.8715161719,9.0575340453,6.7463844274,12.4037120203,7.733409854,9.0727777887
