numpy_2_4,stdlib
rfftfreq,(planned)
rfftn,(planned)
random.beta,@stdlib/random/beta
random.binomial,@stdlib/random/binomal
random.bit_generator,N/A
random.bytes,(planned)
random.chisquare,@stdlib/random/chisquare
random.choice,(planned)
random.dirichlet,(planned)
random.exponential,@stdlib/random/exponential
random.f,@stdlib/random/f
random.gamma,@stdlib/random/gamma
random.geometric,@stdlib/random/geometric
random.gumbel,@stdlib/random/gumbel
random.hypergeometric,@stdlib/random/hypergeometric
random.integers,(planned)
random.laplace,@stdlib/random/laplace
random.logistic,@stdlib/random/logistic
random.lognormal,@stdlib/random/lognormal
random.logseries,(planned)
random.multinomial,(planned)
random.multivariate_hypergeometric,(planned)
random.multivariate_normal,(planned)
random.negative_binomial,@stdlib/random/negative-binomial
random.noncentral_chisquare,(planned)
random.noncentral_f,(planned)
random.normal,@stdlib/random/normal
random.pareto,@stdlib/random/pareto-type1
random.permutation,(planned)
random.permuted,(planned)
random.poisson,@stdlib/random/poisson
random.power,(planned)
random.random,(planned)
random.rayleigh,@stdlib/random/rayleigh
random.shuffle,(planned)
random.spawn,N/A
random.standard_cauchy,(planned)
random.standard_exponential,(planned)
random.standard_gamma,(planned)
random.standard_normal,(planned)
random.standard_t,(planned)
random.triangular,@stdlib/random/triangular
random.uniform,@stdlib/random/uniform
random.vonmises,(planned)
random.wald,(planned)
random.weibull,@stdlib/random/weibull
random.zipf,(planned)
